Id,SalePrice
1461,122234.99595954095
1462,139178.26368418324
1463,169872.05425123556
1464,199138.80165588844
1465,196257.10922934173
1466,182619.85966400558
1467,200754.86627187382
1468,173034.14898422325
1469,208088.21435857366
1470,118252.2690572989
1471,200048.73990275816
1472,112555.1577992799
1473,88064.08531103958
1474,148705.89951937937
1475,111190.90212160989
1476,313040.5601473971
1477,249881.2444459697
1478,289183.32547084976
1479,268060.78699597984
1480,386285.10675268935
1481,289265.55886912614
1482,211435.1432707425
1483,174685.63488207117
1484,172963.71640966006
1485,207308.94186755863
1486,207784.37808123615
1487,285212.27023809834
1488,260324.3109068541
1489,181886.99813074863
1490,232981.13720526232
1491,211504.53970352712
1492,90426.20873618976
1493,219465.9586477134
1494,288069.0553354336
1495,275579.2790594272
1496,215710.97587212187
1497,158689.5328979328
1498,152318.1406255887
1499,162017.52946485986
1500,150472.59577405814
1501,189066.59016649483
1502,146061.9177061756
1503,286086.994836311
1504,246544.75633576477
1505,223037.12948209338
1506,196997.14646902203
1507,241454.5830161051
1508,198596.4577680492
1509,153425.93172773824
1510,144251.4616318025
1511,147768.5798075219
1512,189769.14740378328
1513,166459.89662992454
1514,157420.37565638043
1515,204396.89912784856
1516,170779.4365469521
1517,166310.29242593923
1518,118868.1373445635
1519,240796.68304192612
1520,122672.23441717087
1521,113388.3173878718
1522,204902.2210470325
1523,74005.80278101971
1524,101185.63413032272
1525,98785.92745774181
1526,84605.05433560407
1527,90674.54326348717
1528,150072.4589238119
1529,128291.43018708227
1530,245827.1203545822
1531,143591.15240819624
1532,118226.97817458387
1533,144876.4037867902
1534,123530.12278990785
1535,143188.48331319971
1536,97261.11960651481
1537,43024.2507920037
1538,177981.4758796239
1539,217808.58082453406
1540,112522.13588623947
1541,153446.87715570314
1542,130444.29206359701
1543,184946.22151816043
1544,74419.69345434103
1545,130035.13048739044
1546,140107.97738154454
1547,141476.8852937118
1548,132213.49218529847
1549,126179.09895548795
1550,126041.088401246
1551,131011.22886574466
1552,134539.79434796132
1553,167794.9321030596
1554,117656.4920646156
1555,158672.82303543633
1556,80258.39594810235
1557,90087.36519181577
1558,92457.05659742409
1559,73509.82218900893
1560,125176.04901616008
1561,123951.26049666211
1562,116698.84488869167
1563,114864.87732180872
1564,149011.59962639504
1565,139636.7197366153
1566,244002.2523135977
1567,68730.91128315707
1568,221420.98893976363
1569,92118.47818826872
1570,144207.1448879511
1571,120777.65388439351
1572,134066.21397984738
1573,243732.54268885928
1574,117219.29811654321
1575,243937.7574902143
1576,257909.03276118438
1577,198093.19049965672
1578,145811.96769055736
1579,136017.752822701
1580,210010.48160638113
1581,136361.41669535695
1582,126789.12997718027
1583,306108.3975886478
1584,228178.425310542
1585,157149.60739233007
1586,54049.45790389739
1587,98704.36099051137
